Name,LTP:Last Trade Price,High,Low,CLOSEUP,YCP:Yesterday Closing Price,Change,Trade,Value,Volume
ICBSONALI1,10.2,10.8,10,10.2,10.1,0.1,201,12.734,"1,256,305"
BAYLEASING,10,10.5,9.9,10,10.2,-0.2,155,2.925,"292,958"
SOUTHEASTB,10,10.1,10,10,10,0,155,13.634,"1,360,455"
ISLAMICFIN,9.9,10.2,9.8,9.9,10.1,-0.2,106,1.781,"178,548"
GBBPOWER,9.8,10.1,9.7,9.8,9.9,-0.1,62,0.806,"81,764"
EXIMBANK,9.8,9.9,9.7,9.8,9.8,0,163,4.954,"508,739"
ALIF,9.5,9.8,9.5,9.5,9.7,-0.2,450,8.639,"900,920"
IFIC,9.5,9.8,9.5,9.5,9.7,-0.2,683,26.334,"2,763,656"
AIBL1STIMF,9.3,9.4,9.1,9.3,9.3,0,62,11.23,"1,211,187"
SIBL,9.3,9.3,9.1,9.3,9.3,0,69,4.82,"521,860"
DACCADYE,8.9,9.3,8.9,8.9,9.1,-0.2,64,0.655,"73,135"
MIDASFIN,8.7,9.1,8.7,8.7,8.9,-0.2,129,1.789,"203,387"
SEMLLECMF,8.6,9,8.6,8.6,8.8,-0.2,116,5.527,"627,515"
ICBAGRANI1,8.1,8.5,8.1,8.1,8.3,-0.2,54,0.545,"66,340"
ONEBANKPLC,8,8.1,7.8,8,7.9,0.1,119,2.78,"349,347"
PF1STMF,7.8,8.3,7.8,7.8,8,-0.2,419,20.865,"2,629,267"
UNIONCAP,7.6,7.6,7.4,7.6,7.5,0.1,146,1.004,"134,029"
UNIONBANK,7.6,7.7,7.5,7.6,7.6,0,368,12.979,"1,711,740"
ATCSLGF,7.5,7.9,7.5,7.5,7.7,-0.2,192,2.493,"325,331"
GIB,7.5,7.7,7.5,7.5,7.6,-0.1,517,15.966,"2,120,410"
FIRSTSBANK,7.5,7.6,7.5,7.5,7.6,-0.1,246,9.176,"1,219,828"
CNATEX,7.5,7.7,7.5,7.5,7.7,-0.2,538,18.265,"2,424,433"
SBACBANK,7.3,7.8,7.3,7.3,7.5,-0.2,230,3.762,"509,994"
CAPMBDBLMF,7.3,7.9,7.3,7.3,7.5,-0.2,99,1.325,"177,445"
ABBANK,7.2,7.4,7.2,7.2,7.4,-0.2,643,20.529,"2,846,658"
ZAHEENSPIN,7.2,7.4,7.2,7.2,7.4,-0.2,84,0.899,"124,052"
ICBAMCL2ND,7.2,7.5,7.2,7.3,7.4,-0.2,27,0.468,"64,017"
SEMLIBBLSF,7.1,7.2,7.1,7.2,7.2,-0.1,12,0.444,"61,953"
STANDBANKL,7.1,7.1,6.9,6.9,7.1,0,69,1.972,"281,293"
PHOENIXFIN,6.8,7,6.8,6.8,7,-0.2,64,0.904,"131,625"
PRIMEFIN,6.6,6.8,6.6,6.7,6.8,-0.2,13,0.105,"15,638"
TALLUSPIN,6.5,6.6,6.5,6.5,6.6,-0.1,39,0.4,"61,423"
NBL,6.4,6.6,6.4,6.4,6.5,-0.1,172,3.873,"604,367"
SEMLFBSLGF,6.1,6.4,6.1,6.1,6.2,-0.1,126,4.292,"693,579"
PRIME1ICBA,6.1,6.3,6.1,6.1,6.2,-0.1,53,1.596,"260,082"
BIFC,5.9,6.2,5.9,5.9,6,-0.1,20,0.058,"9,794"
ICBEPMF1S1,5.8,6.3,5.8,5.9,5.9,-0.1,39,0.282,"47,150"
ZAHINTEX,5.6,5.8,5.4,5.5,5.5,0.1,19,0.08,"14,556"
GENNEXT,5.6,5.7,5.6,5.6,5.7,-0.1,331,6.417,"1,142,755"
VAMLBDMF1,5.5,5.8,5.5,5.5,5.6,-0.1,11,0.3,"54,335"
IFILISLMF1,5.5,5.6,5.5,5.5,5.6,-0.1,32,0.333,"60,339"
NCCBLMF1,5.5,5.5,5.4,5.4,5.5,0,15,0.116,"21,420"
ICB3RDNRB,5.3,5.4,5.2,5.3,5.3,0,7,0.043,"8,065"
REGENTTEX,4.9,5.2,4.9,4.9,5,-0.1,57,0.155,"31,588"
VAMLRBBF,4.9,5.4,4.9,4.9,5,-0.1,40,0.61,"123,466"
DELTASPINN,4.9,4.9,4.9,4.9,5,-0.1,41,0.265,"54,057"
DBH1STMF,4.9,5,4.9,4.9,5,-0.1,31,0.687,"140,147"
MBL1STMF,4.8,5,4.8,4.9,4.9,-0.1,17,0.093,"19,100"
KEYACOSMET,4.7,4.9,4.7,4.7,4.8,-0.1,125,1.927,"407,439"
EBL1STMF,4.6,4.7,4.6,4.6,4.7,-0.1,35,0.411,"88,440"
ILFSL,4.4,4.6,4.4,4.4,4.5,-0.1,75,0.746,"168,891"
EBLNRBMF,4.3,4.4,4.3,4.3,4.4,-0.1,64,1.721,"399,330"
PREMIERLEA,4.3,4.8,4.3,4.3,4.4,-0.1,17,0.115,"26,596"
APOLOISPAT,4.2,4.3,4.2,4.2,4.3,-0.1,103,1.377,"327,591"
TRUSTB1MF,4.1,4.3,4.1,4.2,4.2,-0.1,31,0.21,"50,189"
LRGLOBMF1,4.1,4.1,4,4,4.1,0,80,3.774,"942,566"
FIRSTFIN,4,4.2,4,4,4.1,-0.1,17,0.074,"18,382"
GREENDELMF,4,4,3.9,3.9,4,0,46,0.68,"170,922"
EXIM1STMF,4,4.1,4,4,4.1,-0.1,50,0.647,"160,363"
ABB1STMF,4,4,3.9,4,4,0,20,1.323,"332,930"
FBFIF,3.9,4,3.9,3.9,4,-0.1,48,0.776,"197,900"
RINGSHINE,3.9,4.1,3.9,3.9,4,-0.1,189,2.615,"668,486"
NURANI,3.9,4.1,3.9,3.9,4,-0.1,47,0.271,"69,362"
IFIC1STMF,3.9,3.9,3.8,3.8,3.8,0.1,33,0.629,"161,856"
PHPMF1,3.8,3.8,3.7,3.7,3.8,0,135,3.265,"881,844"
POPULAR1MF,3.8,4,3.8,3.8,3.9,-0.1,45,0.564,"147,917"
1JANATAMF,3.8,4,3.8,3.8,3.9,-0.1,58,0.458,"118,670"
FAREASTFIN,3.7,4,3.7,3.7,3.8,-0.1,18,0.055,"14,983"
ICBIBANK,3.6,3.8,3.6,3.7,3.7,-0.1,23,0.243,"65,816"
TUNGHAI,3.6,3.7,3.5,3.6,3.6,0,62,0.602,"167,849"
FASFIN,3.6,3.8,3.6,3.6,3.7,-0.1,59,0.558,"154,897"
PLFSL,3.5,3.6,3.5,3.5,3.6,-0.1,78,0.831,"236,699"
FAMILYTEX,3.5,3.5,3.4,3.5,3.5,0,221,2.728,"799,341"
BSRMLTD,0,0,0,90,90,--,0,0,0
BDSERVICE,0,0,0,5.2,5.2,--,0,0,0
SAVAREFR,0,0,0,215.5,215.5,--,0,0,0
